乡镇码,修复前km2,修复后km2,变化km2,变化%,参考km2,修复后-参考km2,修复前-参考km2
460200001,252.3411,252.4271,0.086,0.034,252.4269,0.0002,-0.0858
460200002,322.0364,320.8403,-1.1961,-0.371,320.1438,0.6965,1.8926
460200003,493.764,493.4052,-0.3588,-0.073,493.3141,0.0911,0.4499
460200004,349.3195,349.3531,0.0336,0.01,348.9732,0.3799,0.3463
460200005,112.9415,113.0882,0.1467,0.13,113.1199,-0.0317,-0.1784
460200006,320.2478,320.2068,-0.041,-0.013,320.1895,0.0173,0.0583
460200101,51.2441,52.1301,0.886,1.729,51.6701,0.46,-0.426
460200102,11.5053,11.9023,0.397,3.451,13.1109,-1.2086,-1.6056
460200103,7.1715,7.2182,0.0467,0.651,7.6229,-0.4047,-0.4514
