TOWN,划转前km2,划转后km2,净变化km2
温泉镇,42.759122,42.862964,0.103842
中原镇,18.352643,18.609746,0.257103
泮水乡,50.604931,50.605211,0.00028
嘉积镇,7.539815,7.17859,-0.361225
